598,Ruff (Sunny Valley Creations)
599,Rukario (Arend Studios)
600,Rummy Raccoon (Critterville)
601,Rumpus (The Fuzz Factory)
602,Rum Wolf (Rum Wolf Studios)
603,Rurik (Luskwood Creatures)
604,Russian Saber Tiger (Dragons Den Fursuits)
605,Rynder Mystscion (DrakonicKnight)
606,Ryu (Arend Studios)
607,Saebo (The Phoenix Nest)
608,Sage (ByCats4Cats)
609,Sairys Wolf (One Fur All)
610,Sam (Mixed Candy)
611,Satellite Rat (Critter Country)
612,Satellite Rat (Roofur)
613,Sax (Roofur)
614,Schnee (Sewing Critters)
615,Scooter Squirrel (Fursuits by Lacy and Nick)
616,Scruffy the Fox (More Fur Less)
617,Scurrow (Jillcostumes)
618,Secret Shibe (One Fur All)
619,Seikan (TheKareliaFursuits)
620,Selinar Snowcat (OMGPineapples)
621,Sepiaa (Finch Fursuits)
622,Serpy (BNCreation)
623,Shade (Templa Creations)
624,Shadii (SuitADile)
625,Shadow Raccoon (Made by Mercury)
626,ShadowTail (Norsewolf Creations)
627,Shane Deepwood (More Fur Less)
628,Shedz (JD Puppy)
629,Sherbert (K-LINE)
630,Sherbert (Myfurcreations)
631,Shetani (MagpieBones)
632,Shian Panda (Mixed Candy)
633,Shifty (DTWA)
634,Shine (Get Fluffy)
635,Shizen (Made Fur You)
636,Shoba (More Fur Less)
637,Siber Hamster (More Fur Less)
638,Siddeley (Crafty Critters)
639,Sieo Wolf (Made Fur You)
640,Siku Wolf (Arend Studios)
641,Silent Ravyn (Don't Hug Cacti)
642,Silent Wolf (Fursuits by Lacy and Nick)
643,Silver R Wolfe (BNCreation)
644,Silverski (Get Fluffy)
645,Skittles (Mixed Candy)
646,Skroy (Kodi Made)
647,Skyan (Don't Hug Cacti)
648,SkyArrow Oryks (LupeSuits)
649,Skye Cabbit (Redstorm Fursuits)
650,Sky High (Mischief Makers)
651,Skyler (Dragons Den Fursuits)
652,Slash Sabercat (Mixed Candy)
653,Slate (Mixed Candy)
654,Sneeky (DTWA)
655,Snickerdoodle (The Fuzz Factory)
656,Sniffer (Arend Studios)
657,Sniper (Beastcub Creations)
658,Sniper (The Phoenix Nest)
659,Snitcher Otter (Frazzy)
660,Sock (The Phoenix Nest)
661,Sodders (Ocicat)
662,Softfox (Jimfoxyboy)
663,Sokatak (Mixed Candy)
664,SonicFox (Fursuit Enterprise)
665,Sony (Apoxon Industries)
666,Sora Gryphon (Crystumes)
667,Soren Sladkevick (Splinter Fox Productions)
668,Soul the Sergal (Primal-art)
669,Spark (Arend Studios)
670,Sparx (Mediar)
671,Sparx Wolf (Norsewolf Creations)
672,Spawts (Fursuits by Lacy and Nick)
673,Spearmint (Creative Mochi)
674,Spector (Latex Catfish)
675,Speedy (TheKareliaFursuits)
676,Splat (Mischief Makers)
677,Sprinkles (Mixed Candy)
678,Spunky (FreshwaterCacti)
679,Spuz (ByCats4Cats)
680,Squeaky (Arend Studios)
681,Star (Fursuits by Lacy and Nick)
682,Starrik Kyrubui (Sunny Valley Creations)
683,Statik (White Wolf Creations)
684,Steel (Fursuits by Lacy and Nick)
685,Stix (Mediar)
686,Stormi Folf (Splinter Fox Productions)
687,Storm (More Fur Less)
688,Strix (Mischief Makers)
689,Strobes (Jillcostumes)
690,Strypes (Myfurcreations)
691,Subby Coon (Stormfire Studios)
692,Sulka (Twinky Arts)
693,Sunny Dingo (Made Fur You)
694,Super Jayhawk (Crafty Coyo Costumes)
695,Syber (Don't Hug Cacti)
696,Syber (Made Fur You)
697,Syber (Ruffled Designs)
698,Sydney (Arend Studios)
699,Sy Freedom (Norsewolf Creations)
700,Sync Otter (Fun-Fur-All)
701,Synthwolf (Synthwolf)
702,Syrus (More Fur Less)
703,TabberPaw (Kodi Made)
704,Tabbicus (Fursuits by Lacy and Nick)
705,Tachi (Apoxon Industries)
706,Taebyn Pup (DTWA)
707,Tai (Sunny Valley Creations)
708,Takala (Arend Studios)
709,Tako (The Fuzz Factory)
710,Tamari (Fursuits by Lacy and Nick)
711,Tammie (Mixed Candy)
712,Tarou Strawberry (LupeSuits)
713,Tauntaun (Arend Studios)
714,Tav Tiggy (Fursuits by Lacy and Nick)
715,Taz (More Fur Less)
716,Tealeaf Raccoon (Matrices)
717,Techroo (Mixed Candy)
718,techtiggie (Arend Studios)
719,"Tegir (Delightfully Odd, OscillaFox)"
720,Telephone (The Phoenix Nest)
721,Telford (OMGPineapples)
722,Temba (Rascal Coyote)
723,Terkwolf (One Fur All)
724,TheKarelia (TheKareliaFursuits)
725,Theron Eindridi (Get Fluffy)
726,Thomas Doebi (Mixed Candy)
727,Thumper (Arend Studios)
728,Thump (The Fuzz Factory)
729,Tibolf (Made Fur You)
730,Tibor (ByCats4Cats)
731,Tiegan The Thylacine (Crépemakes)
732,Timber (Norsewolf Creations)
733,Timber Puppers (The Fuzz Factory)
734,Tito (Mixed Candy)
735,Titus (TheKareliaFursuits)
736,Tobias (Mixed Candy)
